"id","team1_id","team2_id","round_id","date","group_name","group_id","team1_goals","team2_goals"
"1","A1","A2","1","2014-06-12 17:00:00","A",,"4","2"
"2","A3","A4","1","2014-06-13 13:00:00","A",,"1","0"
"3","B1","B2","1","2014-06-13 16:00:00","B",,NULL,NULL
"4","B3","B4","1","2014-06-13 18:00:00","B",,NULL,NULL
"5","C1","C2","1","2014-06-14 13:00:00","C",,NULL,NULL
"6","C3","C4","1","2014-06-14 19:00:00","C",,NULL,NULL
"7","D1","D2","1","2014-06-14 16:00:00","D",,NULL,NULL
"8","D3","D4","1","2014-06-14 19:00:00","D",,NULL,NULL
"9","E1","E2","1","2014-06-15 13:00:00","E",,NULL,NULL
"10","E3","E4","1","2014-06-15 16:00:00","E",,NULL,NULL
"11","F1","F2","1","2014-06-15 19:00:00","F",,NULL,NULL
"12","F3","F4","1","2014-06-16 16:00:00","F",,NULL,NULL
"13","G1","G2","1","2014-06-16 13:00:00","G",,NULL,NULL
"14","G3","G4","1","2014-06-16 19:00:00","G",,NULL,NULL
"15","H1","H2","1","2014-06-17 13:00:00","H",,NULL,NULL
"16","H3","H4","1","2014-06-17 18:00:00","H",,NULL,NULL
"17","A1","A3","1","2014-06-17 14:00:00","A",,NULL,NULL
"18","A4","A2","1","2014-06-17 15:00:00","A",,NULL,NULL
"19","B1","B3","1","2014-06-18 19:00:00","B",,NULL,NULL
"20","B4","B2","1","2014-06-18 13:00:00","B",,NULL,NULL
"21","C1","C3","1","2014-06-19 13:00:00","C",,NULL,NULL
"22","C4","C2","1","2014-06-19 19:00:00","C",,NULL,NULL
"23","D1","D3","1","2014-06-19 16:00:00","D",,NULL,NULL
"24","D4","D2","1","2014-06-20 13:00:00","D",,NULL,NULL
"25","E1","E3","1","2014-06-20 16:00:00","E",,NULL,NULL
"26","E4","E2","1","2014-06-20 19:00:00","E",,NULL,NULL
"27","F1","F3","1","2014-06-21 13:00:00","F",,NULL,NULL
"28","F4","F2","1","2014-06-21 18:00:00","F",,NULL,NULL
"29","G1","G3","1","2014-06-21 16:00:00","G",,NULL,NULL
"30","G4","G2","1","2014-06-22 15:00:00","G",,NULL,NULL
"31","H1","H3","1","2014-06-22 19:00:00","H",,NULL,NULL
"32","H4","H2","1","2014-06-22 13:00:00","H",,NULL,NULL
"33","A4","A1","1","2014-06-23 17:00:00","A",,NULL,NULL
"34","A2","A3","1","2014-06-23 17:00:00","A",,NULL,NULL
"35","B4","B1","1","2014-06-23 13:00:00","B",,NULL,NULL
"36","B2","B3","1","2014-06-23 13:00:00","B",,NULL,NULL
"37","C4","C1","1","2014-06-24 16:00:00","C",,NULL,NULL
"38","C2","C3","1","2014-06-24 16:00:00","C",,NULL,NULL
"39","D4","D1","1","2014-06-24 13:00:00","D",,NULL,NULL
"40","D2","D3","1","2014-06-24 13:00:00","D",,NULL,NULL
"41","E4","E1","1","2014-06-25 16:00:00","E",,NULL,NULL
"42","E2","E3","1","2014-06-25 17:00:00","E",,NULL,NULL
"43","F4","F1","1","2014-06-25 13:00:00","F",,NULL,NULL
"44","F2","F3","1","2014-06-25 13:00:00","F",,NULL,NULL
"45","G4","G1","1","2014-06-26 13:00:00","G",,NULL,NULL
"46","G2","G3","1","2014-06-26 13:00:00","G",,NULL,NULL
"47","H4","H1","1","2014-06-26 17:00:00","H",,NULL,NULL
"48","H2","H3","1","2014-06-26 17:00:00","H",,NULL,NULL
